match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,0,1,Auqib Nabi,Sanju Samson,3 runs,a good shot to start the innings. This was pitched up by the bowler and Samson drives it through covers. The fielder in the deep sprints across and puts in a dive near the boundary; stops the ball and saves one. Stubbs was the fielder on that occasion,2026-05-04 13:34:42.877434
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,0,2,Auqib Nabi,Ruturaj Gaikwad,no run,tad fuller around off; Ruturaj Gaikwad drives it towards the fielder at covers crisply,2026-05-04 13:34:42.877569
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,0,3,Auqib Nabi,Ruturaj Gaikwad,1 run,good length delivery outside off; Ruturaj Gaikwad punches it towards mid-off and scampers across to the other end,2026-05-04 13:34:42.877709
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,0,4,Auqib Nabi,Sanju Samson,FOUR,Sanju Samson with his first boundary of the match. This was short and wide outside off; Sanju Samson plays a late-cut; but Stubbs stationed in the deep fails to stop the boundary this time around. Had no chance to stop this one,2026-05-04 13:34:42.877825
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,0,5,Auqib Nabi,Sanju Samson,no run,back of a length around off; Sanju Samson pats it with soft hands towards the keeper. Wants a single; but Gaikwad shows no interest,2026-05-04 13:34:42.877936
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,0,6,Auqib Nabi,Sanju Samson,wide,way too wide outside off; Sanju Samson lets it through to the keeper,2026-05-04 13:34:42.878047
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,0,6,Auqib Nabi,Sanju Samson,1 run,back of a length delivery around middle and leg; Sanju Samson clips it towards backward square leg where Natarajan slips while stopping the ball. Ends up giving away an easy single in the process,2026-05-04 13:34:42.878198
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,1,1,Mukesh Kumar,Sanju Samson,1 run,opens the bat face late; steering this towards backward point for one,2026-05-04 13:34:42.878383
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,1,2,Mukesh Kumar,Ruturaj Gaikwad,no run,fraction short around off; Ruturaj Gaikwad nudges it towards mid-on with soft hands,2026-05-04 13:34:42.878507
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,1,3,Mukesh Kumar,Ruturaj Gaikwad,no run,good length delivery around off; punched to cover by Ruturaj Gaikwad,2026-05-04 13:34:42.878619
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,1,4,Mukesh Kumar,Ruturaj Gaikwad,1 run,advances down the wicket; nudging this towards mid-on for one,2026-05-04 13:34:42.878749
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,1,5,Mukesh Kumar,Sanju Samson,FOUR,easy pickings! Drifting on the pads; Sanju Samson flicks it away to the fine leg fence nonchalantly,2026-05-04 13:34:42.878872
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,1,6,Mukesh Kumar,Sanju Samson,FOUR,back-to-back boundaries. This was pitched up by the pacer and Sanju Samson drilled it straight past the non-striker to end the over with four runs,2026-05-04 13:34:42.878985
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,2,1,Auqib Nabi,Ruturaj Gaikwad,1 run,length ball at the stumps; Ruturaj Gaikwad knocks it towards mid-off and takes a quick run,2026-05-04 13:34:42.879125
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,2,2,Auqib Nabi,Sanju Samson,FOUR,that almost went the distance! Back of a length around off; Sanju Samson stays put and swings it over long-on. This one hits the cushion on the bounce. Looked like a six for a moment,2026-05-04 13:34:42.879242
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,2,3,Auqib Nabi,Sanju Samson,1 run,shaping away from the batter outside off; Sanju Samson steers it towards backward point for one,2026-05-04 13:34:42.879357
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,2,4,Auqib Nabi,Ruturaj Gaikwad,no run,back of a length around middle and leg; Ruturaj Gaikwad clips it towards mid-wicket,2026-05-04 13:34:42.879487
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,2,5,Auqib Nabi,Ruturaj Gaikwad,no run,Auqib Nabi Dar goes full on off; Ruturaj Gaikwad plays this off the front foot; driving it straight to the fielder at cover,2026-05-04 13:34:42.879595
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,2,6,Auqib Nabi,Ruturaj Gaikwad,1 run,back of a length around middle and leg; Ruturaj Gaikwad clips it through the leg-side for a single,2026-05-04 13:34:42.879731
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,3,1,Axar Patel,Ruturaj Gaikwad,FOUR,tad short outside off; Ruturaj Gaikwad rocks back in the crease and punches it through covers for a rollicking boundary. Axar Patel greeted into the attack with four runs,2026-05-04 13:34:42.879847
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,3,2,Axar Patel,Ruturaj Gaikwad,no run,advances down the wicket to push-drive this back to the bowler,2026-05-04 13:34:42.880100
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,3,3,Axar Patel,Ruturaj Gaikwad,1 run,flatter one around off; Ruturaj Gaikwad pats it towards the off-side for one,2026-05-04 13:34:42.880339
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,3,4,Axar Patel,Sanju Samson,FOUR,chipped over the infield. Makes room and chips this tossed up delivery over covers for a boundary again. He's in good touch tonight,2026-05-04 13:34:42.880474
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,3,5,Axar Patel,Sanju Samson,no run,tad short around off; Sanju Samson knocks it into the off-side,2026-05-04 13:34:42.880594
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,3,6,Axar Patel,Sanju Samson,FOUR,third boundary of the over; 13 runs from it. This was pitched up by Axar Patel; Sanju Samson made room and chipped it over the infield at covers to end the over with four more,2026-05-04 13:34:42.880825
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,4,1,Natarajan,Ruturaj Gaikwad,no run,tad short outside off; shapes back in as Ruturaj Gaikwad slices it towards short third man,2026-05-04 13:34:42.881142
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,4,2,Natarajan,Ruturaj Gaikwad,3 runs,good length delivery around middle and leg; Ruturaj Gaikwad clips it through mid-wicket. The fielder chases it and stops it with a slide in the deep. Three runs taken,2026-05-04 13:34:42.882440
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,4,3,Natarajan,Sanju Samson,1 run,on a length around off; Sanju Samson taps it towards point and takes a single,2026-05-04 13:34:42.882874
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,4,4,Natarajan,Ruturaj Gaikwad,1 run,short and wide outside off; cut away through point for one,2026-05-04 13:34:42.883368
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,4,5,Natarajan,Sanju Samson,FOUR,pitched up by the bowler outside off; was in the slot and all Samson had to do; is loft it. Stays put in the crease and beautifully lofts it over mid-off. On the bounce and over the boundary. High elbows and a pose for the cameras,2026-05-04 13:34:42.885581
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,4,6,Natarajan,Sanju Samson,no run,fraction short outside off; skids along the deck; Sanju Samson attempts a late-cut; gets beaten due to the pace and bounce though,2026-05-04 13:34:42.886056
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,5,1,Lungi Ngidi,Ruturaj Gaikwad,1 run,50-run stand up in the 6th over! On a length around middle and leg; Ruturaj Gaikwad nudges it towards mid-on for one,2026-05-04 13:34:42.886414
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,5,2,Lungi Ngidi,Sanju Samson,FOUR,even Lungi Ngidi gets the treatment. This was a slower one by Lungi Ngidi outside off; rolled his fingers and went wide outside off; Sanju Samson plays a lovely shot and cuts it away through cover-point for a rollicking boundary,2026-05-04 13:34:42.886693
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,5,3,Lungi Ngidi,Sanju Samson,1 run,on a length outside off; Sanju Samson punches it towards cover for a single. Didn't that time it well enough as it was the slower one,2026-05-04 13:34:42.886941
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,5,4,Lungi Ngidi,Ruturaj Gaikwad,1 run,advances down the wicket; driving this towards cover for one,2026-05-04 13:34:42.887177
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,5,5,Lungi Ngidi,Sanju Samson,FOUR,back of a length delivery outside off; Sanju Samson plays it late; steering it away to the third man fence with the fielder inside the circle,2026-05-04 13:34:42.887424
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,5,6,Lungi Ngidi,Sanju Samson,1 run,full and wide outside off; Sanju Samson drives it through covers for one. End of a productive powerplay for Chennai - 61/0 after 6,2026-05-04 13:34:42.887725
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,6,1,Axar Patel,Sanju Samson,1 run,flatter through the air on off; Sanju Samson knocks it down to long-off for one,2026-05-04 13:34:42.888140
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,6,2,Axar Patel,Ruturaj Gaikwad,out Caught by Pathum Nissanka!! A rusty knock by the CSK skipper comes to an end. His lean run in IPL 2026 continues. This was fraction short by Axar Patel and Ruturaj Gaikwad wanted to pull it away. Takes the aerial route,but doesn't time it well enough. Nissanka stationed at deep mid-wicket settles underneath and takes a safe catch to draw curtains to Gaikwad's knock. DC skipper with the breakthrough. Ruturaj Gaikwad c Pathum Nissanka b Axar Patel 15(18) [4s-1],2026-05-04 13:34:42.888402
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,6,3,Axar Patel,Ayush Mhatre,1 run,flatter through the air at the stumps; clipped to mid-on for one,2026-05-04 13:34:42.888659
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,6,4,Axar Patel,Sanju Samson,no run,tossed up delivery around off; chipped towards cover by Sanju Samson,2026-05-04 13:34:42.888901
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,6,5,Axar Patel,Sanju Samson,1 run,driven towards wide long-off for a single,2026-05-04 13:34:42.889140
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,6,6,Axar Patel,Ayush Mhatre,1 run,tad fuller at the stumps; Ayush Mhatre chips it right over the bowler for a single,2026-05-04 13:34:42.889404
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,7,1,Kuldeep Yadav,Ayush Mhatre,1 run,tossed up delivery around middle and leg; clipped to wide long-on by Ayush Mhatre,2026-05-04 13:34:42.889714
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,7,2,Kuldeep Yadav,Sanju Samson,no run,a lot slower through the air on off; Sanju Samson drives it to extra cover,2026-05-04 13:34:42.889961
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,7,3,Kuldeep Yadav,Sanju Samson,1 run,fraction short around off; slapped to wide long-off for a single,2026-05-04 13:34:42.890201
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,7,4,Kuldeep Yadav,Ayush Mhatre,1 run,tad short as Ayush Mhatre drags it towards wide long-on for one,2026-05-04 13:34:42.890460
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,7,5,Kuldeep Yadav,Sanju Samson,1 run,dragged through mid-wicket for one as the bowler goes short,2026-05-04 13:34:42.890755
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,7,6,Kuldeep Yadav,Ayush Mhatre,FOUR,short and punished! Ayush Mhatre rocks back in the crease and pulls this through the gap at long-on and deep mid-wicket,2026-05-04 13:34:42.891046
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,8,1,Mukesh Kumar,Sanju Samson,1 run,Sanju Samson brings up his first fifty for CSK! This was a full length delivery on leg and Sanju Samson flicked it towards fine leg for a single. His partner walks upto him and congratulates him,2026-05-04 13:34:42.891307
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,8,2,Mukesh Kumar,Ayush Mhatre,no run,on a length outside off; punched to cover by Ayush Mhatre for one,2026-05-04 13:34:42.891569
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,8,3,Mukesh Kumar,Ayush Mhatre,1 run,drifting on the pads; Ayush Mhatre clips it towards wide long-on for one,2026-05-04 13:34:42.891895
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,8,4,Mukesh Kumar,Sanju Samson,2 runs,Mukesh Kumar goes full and Sanju Samson drills it straight down the ground. A good stop in the deep by the fielder and a better throw at the bowler's end would have had the non-striker in trouble. He was a touch slow while coming back for the second,2026-05-04 13:34:42.892157
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,8,5,Mukesh Kumar,Sanju Samson,no run,tad short outside off; Sanju Samson goes for a cut; mistimes it towards backward point,2026-05-04 13:34:42.892428
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,8,6,Mukesh Kumar,Sanju Samson,no run,Delhi Capitals have reviewed for a non-wide. The onfield call was a wide; but Mukesh Kumar reckons it wasn't one. They challenge the decision and it has to be reversed. A good review by DC - every run matters,2026-05-04 13:34:42.892726
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,9,1,Axar Patel,Ayush Mhatre,no run,run-out chance missed! KL Rahul makes a mess of it. Ayush Mhatre had driven this towards mid-off and he set off for a single. There was never a run on offer as Ayush Mhatre had to turn back. The throw comes at the keeper's end; but he fails to gather it cleanly. Had he gathered it cleanly and taken off the bails; it would have been curtains for the batter. How costly a miss will that prove to be?,2026-05-04 13:34:42.892999
18_CSKvsDC,May 04,13:29:25,MA Chidambaram Stadium,9,2,Axar Patel,Ayush Mhatre,1 run,worked through the leg-side by Ayush Mhatre for a single,2026-05-04 13:34:42.893361
