match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
28_KKRvsRR,May 04,13:29:25,Eden Gardens,0,1,Vaibhav Arora,Yashasvi Jaiswal,1 run,back of a length and angling across; Jaiswal taps it to point to get off the mark,2026-05-04 13:43:20.981348
28_KKRvsRR,May 04,13:29:25,Eden Gardens,0,2,Vaibhav Arora,Vaibhav Sooryavanshi,1 run,unusual from Sooryavanshi; taps a back of a length delivery to cover point and sets off for an easy single,2026-05-04 13:43:20.981530
28_KKRvsRR,May 04,13:29:25,Eden Gardens,0,3,Vaibhav Arora,Yashasvi Jaiswal,no run,good away movement for Arora; on a length in the channel around off stump; he gets some extra bounce; Jaiswal looks to force it off the back foot and misses it,2026-05-04 13:43:20.981765
28_KKRvsRR,May 04,13:29:25,Eden Gardens,0,4,Vaibhav Arora,Yashasvi Jaiswal,FOUR,hammered away; too much width on offer outside off; Jaiswal gets on top of it and square drives it to deep backward point; that raced away!,2026-05-04 13:43:20.982154
28_KKRvsRR,May 04,13:29:25,Eden Gardens,0,5,Vaibhav Arora,Yashasvi Jaiswal,no run,shorter and angling across; Jaiswal walks down the track and guides it to short third man,2026-05-04 13:43:20.982365
28_KKRvsRR,May 04,13:29:25,Eden Gardens,0,6,Vaibhav Arora,Yashasvi Jaiswal,no run,nice line; on a length and targetting the stumps; Jaiswal pushes it to covers and sets off for a single; sent back!,2026-05-04 13:43:20.982493
28_KKRvsRR,May 04,13:29:25,Eden Gardens,1,1,Kartik Tyagi,Vaibhav Sooryavanshi,FOUR,he's put it away; bread and butter for him; speared in full on the pads; Sooryavanshi flicks it effortlessly off his legs to deep mid-wicket,2026-05-04 13:43:20.982615
28_KKRvsRR,May 04,13:29:25,Eden Gardens,1,2,Kartik Tyagi,Vaibhav Sooryavanshi,no run,good comeback; banged in short and on the stumps; this one hurried onto him as he taps it to the off side,2026-05-04 13:43:20.982800
28_KKRvsRR,May 04,13:29:25,Eden Gardens,1,3,Kartik Tyagi,Vaibhav Sooryavanshi,FOUR,streaky but he will take it; the slip was moved for this ball and it exactly went between the keeper and the short third man fielder; on a length and angling across; Sooryavanshi pokes at it away from the body; but the edge fell safely and raced away to the fence,2026-05-04 13:43:20.982915
28_KKRvsRR,May 04,13:29:25,Eden Gardens,1,4,Kartik Tyagi,Vaibhav Sooryavanshi,no run,angling across the left hander; Sooryavanshi gets behind the line and defends it,2026-05-04 13:43:20.983020
28_KKRvsRR,May 04,13:29:25,Eden Gardens,1,5,Kartik Tyagi,Vaibhav Sooryavanshi,no run,angling across on the pads; he gets a bit of extra bounce; Sooryavanshi looks to defend; but the ball hits his gloves,2026-05-04 13:43:20.983124
28_KKRvsRR,May 04,13:29:25,Eden Gardens,1,6,Kartik Tyagi,Vaibhav Sooryavanshi,1 run,straying on the pads; Sooryavanshi flicsk it to deep mid-wicket for a single; it has been a quiet start from the openers so far,2026-05-04 13:43:20.983228
28_KKRvsRR,May 04,13:29:25,Eden Gardens,2,1,Cameron Green,Vaibhav Sooryavanshi,1 run,back of a length and angling in from round the wicket; Sooryavanshi taps it to gully for a quick single,2026-05-04 13:43:20.983331
28_KKRvsRR,May 04,13:29:25,Eden Gardens,2,2,Cameron Green,Yashasvi Jaiswal,FOUR,cheeky and it almost went all the way. Short and outside off; Jaiswal allows the ball to come onto the bat and upper cuts it over the fielder to third man; one bounce and into the fence,2026-05-04 13:43:20.983440
28_KKRvsRR,May 04,13:29:25,Eden Gardens,2,3,Cameron Green,Yashasvi Jaiswal,no run,almost a run out; full and on middle; Jaiswal plays it off his legs towards wide mid on and sets off for a single; Vaibhav was watching the ball and Jaiswal had to rush back as he was almost half way down the track,2026-05-04 13:43:20.983546
28_KKRvsRR,May 04,13:29:25,Eden Gardens,2,4,Cameron Green,Yashasvi Jaiswal,no run,angling in from outside off; pushed back to the bowler,2026-05-04 13:43:20.983694
