match,date,time,venue,over,ball,bowler,batsman,ball_event,event_info,extract_time
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,0,1,Jacob Duffy,Travis Head,no run,on a length outside off; shapes back in slightly as Travis Head steers it towards point,2026-05-04 13:05:28.000439
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,0,2,Jacob Duffy,Travis Head,1 run,on a length around leg; Travis Head swings early and the inside edge flicks his pads and rolls towards short fine leg. First run of the match,2026-05-04 13:05:28.000573
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,0,3,Jacob Duffy,Abhishek Sharma,no run,not out! RCB lose a review in the first over of the match. A back of a length delivery outside off; shapes back away as Abhishek Sharma gets beaten on the outside edge. UltraEdge confirms the same as the bowler starts walking back to his run-up mark,2026-05-04 13:05:28.000692
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,0,4,Jacob Duffy,Abhishek Sharma,SIX,first maximum of IPL 2026! Full and wide outside off; Abhishek Sharma reaches out for it with a slice; gets enough elevation as the ball flies over the fielder at deep backward point. He's off the mark in style,2026-05-04 13:05:28.000805
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,0,5,Jacob Duffy,Abhishek Sharma,no run,good length delivery outside off; Abhishek Sharma has a swing and a miss. Got beaten due to the movement,2026-05-04 13:05:28.000910
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,0,6,Jacob Duffy,Abhishek Sharma,no run,that's a juicy full toss outside off; Abhishek Sharma plays a well-timed cover drive; but straight to the fielder stationed at cover-point,2026-05-04 13:05:28.001011
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,1,1,Bhuvneshwar Kumar,Travis Head,1 run,good length delivery around middle and leg; Travis Head clips it through the leg-side for a single,2026-05-04 13:05:28.001110
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,1,2,Bhuvneshwar Kumar,Abhishek Sharma,1 run,advances down the wicket and knocks the length delivery in front of cover-point for a quick run,2026-05-04 13:05:28.001208
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,1,3,Bhuvneshwar Kumar,Travis Head,1 run,short of a length outside off; shaping away from the batter as Travis Head runs it down to third man for one,2026-05-04 13:05:28.001310
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,1,4,Bhuvneshwar Kumar,Abhishek Sharma,wide,fired down the leg-side by Bhuvneshwar Kumar on the shorter side; called a wide by the umpire,2026-05-04 13:05:28.001411
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,1,4,Bhuvneshwar Kumar,Abhishek Sharma,no run,short and quick around leg; Abhishek Sharma gets cramped for room as he looks to swipe this away; gets hit on the thigh pad as the ball lobs towards the keeper,2026-05-04 13:05:28.001510
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,1,5,Bhuvneshwar Kumar,Abhishek Sharma,wide,on the shorter side and down the leg-side; another loose delivery by Bhuvneshwar Kumar. Jitesh Sharma had to move across by a long way to gather this; it was so wayward,2026-05-04 13:05:28.001614
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,1,5,Bhuvneshwar Kumar,Abhishek Sharma,leg byes,1 run; cramped up for room again; off the thigh pad towards the leg-side as they take a leg bye,2026-05-04 13:05:28.001724
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,1,6,Bhuvneshwar Kumar,Travis Head,FOUR,chopped on; almost! Just the kind of luck you need to get going in this tournament. Back of a length delivery around off; was too close to the body; Travis Head looks to slice it away and gets an inside edge that misses the stumps and races away to the fine leg boundary,2026-05-04 13:05:28.001831
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,2,1,Jacob Duffy,Abhishek Sharma,wide,yet another wide. They have bowled too many wides already. Another wayward ball down the leg-side,2026-05-04 13:05:28.001933
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,2,1,Jacob Duffy,Abhishek Sharma,out Caught by Jitesh Sharma!! Abhishek's poor run continues. He hasn't been at his best since a couple of months. This was a short ball by Jacob Duffy and Abhishek Sharma got hurried up due to the pace. He goes for a pull,losing his shape in the process. A thick top edge is induced and Jitesh calls for it and circles under the skier to complete a safe catch. A disappointing start for the destructive opener in IPL 2026. Abhishek Sharma c Jitesh Sharma b Jacob Duffy 7(8) [6s-1];,2026-05-04 13:05:28.002090
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,2,2,Jacob Duffy,Ishan Kishan,1 run,short and wide outside off; steered away through backward point,2026-05-04 13:05:28.002203
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,2,3,Jacob Duffy,Travis Head,no run,on a length outside off; punched towards cover by Travis Head,2026-05-04 13:05:28.002316
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,2,4,Jacob Duffy,Travis Head,no run,short of a length around off; shapes back in and skids along the deck; Travis Head looks to swipe it across the line; gets beaten on the inside edge,2026-05-04 13:05:28.002416
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,2,5,Jacob Duffy,Travis Head,FOUR,stand and deliver! On a length outside off; tad slower; Travis Head stays put and thumps it over mid-off. Didn't middle it to perfection; otherwise this would have sailed over the boundary. Good strike; nevertheless,2026-05-04 13:05:28.002519
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,2,6,Jacob Duffy,Travis Head,out Caught by Phil Salt!! Two wickets in the over for Jacob Duffy. What a superb debut for him for RCB already. A short ball by the pacer,Travis Head goes for a flat pull and Phil Salt at deep backward square leg takes a well-judged reverse cup catch. Both the destructive openers are back to the pavilion within the powerplay. The crowd at Chinnaswamy is absolutely loving this. Travis Head c Phil Salt b Jacob Duffy 11(9) [4s-2];,2026-05-04 13:05:28.002626
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,3,1,Bhuvneshwar Kumar,Ishan Kishan,FOUR,sublime timing! Back of a length outside off; Ishan Kishan stands tall and punches this through cover-point. Finds the gap as the ball absolutely races away to the fence,2026-05-04 13:05:28.002843
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,3,2,Bhuvneshwar Kumar,Ishan Kishan,1 run,tad short outside off; Ishan Kishan rides the bounce and pats it in front of cover-point. Takes a quick run,2026-05-04 13:05:28.003058
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,3,3,Bhuvneshwar Kumar,Nitish Reddy,no run,lovely delivery by Bhuvneshwar Kumar outside off; shaping away from the batter who feels for it and almost nicks it behind,2026-05-04 13:05:28.003287
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,3,4,Bhuvneshwar Kumar,Nitish Reddy,no run,good length delivery around off; skids along the deck as Nitish Kumar Reddy taps it into the off-side,2026-05-04 13:05:28.003514
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,3,5,Bhuvneshwar Kumar,Nitish Reddy,no run,short and wide outside off; Nitish Kumar Reddy cuts it towards point where Duffy puts in a dive to his left and grabs it,2026-05-04 13:05:28.003784
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,3,6,Bhuvneshwar Kumar,Nitish Reddy,1 run,back of a length around middle and leg; clips it towards mid-wicket for a single to end the over,2026-05-04 13:05:28.004154
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,4,1,Jacob Duffy,Nitish Reddy,no run,tad short around off; some sharp carry as Nitish Kumar Reddy pats it towards point,2026-05-04 13:05:28.004355
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,4,2,Jacob Duffy,Nitish Reddy,out Caught by Abhinandan Singh!! This is a dream debut for Jacob Duffy. He goes short,he goes quick and the batter gets hurried. Tries to go across the line; swings with lack of footwork and the top edge has been taken at mid-wicket. Abhinandan takes it stylishly and throws the ball away in swagger. Sunrisers Hyderabad in a spot of bother at the Chinnaswamy. They are three down within the powerplay.. Nitish Reddy c Abhinandan Singh b Jacob Duffy 1(6);,2026-05-04 13:05:28.004486
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,4,3,Jacob Duffy,Heinrich Klaasen,no run,fraction short outside off; shaping away from Heinrich Klaasen who lets it through to the keeper,2026-05-04 13:05:28.004601
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,4,4,Jacob Duffy,Heinrich Klaasen,3 runs,on a length outside off; Heinrich Klaasen drives this through covers; finds the gap and opens his account. Three runs to get going,2026-05-04 13:05:28.004808
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,4,5,Jacob Duffy,Ishan Kishan,1 run,fraction short outside off; some extra carry as Ishan Kishan steers this through backward point for one,2026-05-04 13:05:28.005027
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,4,6,Jacob Duffy,Heinrich Klaasen,no run,end of another fantastic over by Jacob Duffy. Drifting on the pads as Heinrich Klaasen clips it with soft hands towards the on-side,2026-05-04 13:05:28.005239
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,5,1,Abhinandan Singh,Ishan Kishan,no run,short; quick and at the body. Ishan Kishan loses his shape while going for the pull shot; miscues it towards square leg; but it just falls in front of the fielder stationed there,2026-05-04 13:05:28.005498
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,5,2,Abhinandan Singh,Ishan Kishan,SIX,that's the kind of form he has been in. More like it. A short ball on leg; Ishan Kishan picks the length early and pulls it over deep backward square leg for a 89m maximum. SRH need their captain to play with a similar intent tonight,2026-05-04 13:05:28.005661
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,5,3,Abhinandan Singh,Ishan Kishan,FOUR,more runs! Banged in short by Abhinandan Singh; Ishan Kishan goes for a pull over mid-wicket and manages to beat Duffy's chase. He put in a dive in the deep; but couldn't quite get there,2026-05-04 13:05:28.005814
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,5,4,Abhinandan Singh,Ishan Kishan,SIX,Abhinandan Singh proving to be very expensive in his first over. This was a short and quick delivery outside off; Ishan Kishan slashes hard at it and the top edge flies right over third man. Hits the ad hoardings beyond the boundary,2026-05-04 13:05:28.006110
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,5,5,Abhinandan Singh,Ishan Kishan,no run,that was a juicy full toss; Ishan Kishan slices it away; but can't beat the fielder stationed inside the circle on the off-side,2026-05-04 13:05:28.007016
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,5,6,Abhinandan Singh,Ishan Kishan,no run,16 runs from that over! Back of a length around middle and leg; nudged towards mid-wicket by Ishan Kishan,2026-05-04 13:05:28.007347
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,6,1,Jacob Duffy,Heinrich Klaasen,1 run,a short ball by Jacob Duffy and Heinrich Klaasen has pulled it towards deep mid-wicket on the bounce,2026-05-04 13:05:28.007462
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,6,2,Jacob Duffy,Ishan Kishan,1 run,Jacob Duffy goes short outside off; Ishan Kishan rides the bounce; steering it towards third man for one,2026-05-04 13:05:28.007570
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,6,3,Jacob Duffy,Heinrich Klaasen,1 run,fraction short outside off; Heinrich Klaasen steers it through cover-point for one,2026-05-04 13:05:28.007708
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,6,4,Jacob Duffy,Ishan Kishan,1 run,short of a length around off; Kishan looks to defend; gets an inside edge onto the thigh pad; the ball rolls towards short third,2026-05-04 13:05:28.007817
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,6,5,Jacob Duffy,Heinrich Klaasen,no run,almost another wicket! Heinrich Klaasen closes the bat face early and looks to nudge this away; ends up getting a leading edge for being early in his shot. The leading edge flies straight back to the bowler; and lands just in front of him,2026-05-04 13:05:28.007929
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,6,6,Jacob Duffy,Heinrich Klaasen,1 run,end of a superb spell on his RCB debut! Goes short on middle and leg; as Heinrich Klaasen pulls it towards deep square leg on the bounce. The RCB crowd give him a huge cheer at the end of his spell; bowled four overs on the trot. Has done his job with the ball for his new IPL franchise - he has been replaced by Padikkal who is the impact sub,2026-05-04 13:05:28.008048
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,7,1,Romario Shepherd,Heinrich Klaasen,1 run,on a length around middle and leg; driven down the ground to long-on,2026-05-04 13:05:28.008273
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,7,2,Romario Shepherd,Ishan Kishan,FOUR,shot! Back of a length outside off; Ishan Kishan gets on top of it and stylishly carves it away through backward point. No chance of stopping that as Kishan adds four more to the tally,2026-05-04 13:05:28.008989
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,7,3,Romario Shepherd,Ishan Kishan,1 run,good length delivery outside off as Ishan Kishan plays this through covers for a single,2026-05-04 13:05:28.009759
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,7,4,Romario Shepherd,Heinrich Klaasen,FOUR,yet another boundary. Romario Shepherd goes full around off; Heinrich Klaasen goes deep inside the crease and plays a well-timed off-drive. Beats the fielder inside the circle comfortably and finds the fence with ease,2026-05-04 13:05:28.010020
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,7,5,Romario Shepherd,Heinrich Klaasen,FOUR,replica of the previous shot! Romario Shepherd goes full again and Heinrich Klaasen executes his off-drive once again. Same shot; same execution; and same result,2026-05-04 13:05:28.010218
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,7,6,Romario Shepherd,Heinrich Klaasen,2 runs,just the kind of partnership SRH needed to steady the ship. These two batters are exactly doing that. This was fraction short and Heinrich Klaasen swiped it towards wide long-on. Salt in the deep does extremely well to stop the ball which was travelling and saves a boundary,2026-05-04 13:05:28.010550
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,8,1,Abhinandan Singh,Ishan Kishan,1 run,Abhinandan Singh goes short outside off as Ishan Kishan drags it towards the on-side for one,2026-05-04 13:05:28.011401
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,8,2,Abhinandan Singh,Heinrich Klaasen,1 run,full toss on the pads; Heinrich Klaasen clips it towards wide long-on for one,2026-05-04 13:05:28.011968
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,8,3,Abhinandan Singh,Ishan Kishan,no run,short in length around off; Ishan Kishan looks to drag this across the line; gets an inside edge onto the pads,2026-05-04 13:05:28.012136
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,8,4,Abhinandan Singh,Ishan Kishan,FOUR,smashed! Abhinandan Singh goes short outside off; this was on the slower side; Ishan Kishan picks the length and pace pretty well; rocks back in the crease and pulls it over mid-wicket. There were a couple of fielders converging in the deep; but he just managed to bisect them,2026-05-04 13:05:28.012257
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,8,5,Abhinandan Singh,Ishan Kishan,2 runs,worked through the leg-side for a couple of runs,2026-05-04 13:05:28.012370
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,8,6,Abhinandan Singh,Ishan Kishan,1 run,50-run stand up! Pitched up by the bowler outside off; Ishan Kishan looks to squeeze it out; gets an inside edge past the stumps for a single,2026-05-04 13:05:28.012480
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,9,1,Suyash Sharma,Ishan Kishan,no run,starts with a googly outside off; Ishan Kishan plays it late; steering it towards backward point,2026-05-04 13:05:28.012590
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,9,2,Suyash Sharma,Ishan Kishan,FOUR,tossed up delivery outside off; slightly widish; Ishan Kishan reaches out for it with a drive and manages to beat Tim David's dive in the deep. The timing and placement were good enough to fetch him four runs,2026-05-04 13:05:28.012738
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,9,3,Suyash Sharma,Ishan Kishan,1 run,flatter through the air outside off; played through the off-side for a single,2026-05-04 13:05:28.012850
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,9,4,Suyash Sharma,Heinrich Klaasen,1 run,fraction short outside off; skids along the deck as Heinrich Klaasen punches it towards extra cover. The fielder stationed there puts in a dive to his right; gets his hand to it; eventually parrying it towards long-off,2026-05-04 13:05:28.012976
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,9,5,Suyash Sharma,Ishan Kishan,2 runs,drags this slightly short ball through backward square leg as the fielder (Kanishk Chouhan) in the deep does well to stop the ball; keeps them down to two,2026-05-04 13:05:28.013084
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,9,6,Suyash Sharma,Ishan Kishan,no run,driven back to the bowler to end the over,2026-05-04 13:05:28.013199
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,10,1,Krunal Pandya,Heinrich Klaasen,no run,fired in flat on off; zips through from back of a length; Klaasen is cramped on the cut and mistimes it to short cover. He throws his head back in frustration. Not happy with himself,2026-05-04 13:05:28.013299
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,10,2,Krunal Pandya,Heinrich Klaasen,1 run,length ball sliding in on middle; Klaasen punches to long-off,2026-05-04 13:05:28.013399
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,10,3,Krunal Pandya,Ishan Kishan,1 run,stays round the wicket for the left-hander and angles it away outside off. Oh he bowled it with a very round-arm release while also bending his knees to keep the trajectory low. It's fired wide outside off; Kishan flat-bats to long-off,2026-05-04 13:05:28.013505
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,10,4,Krunal Pandya,Heinrich Klaasen,1 run,pushed down to long-off,2026-05-04 13:05:28.013608
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,10,5,Krunal Pandya,Ishan Kishan,1 run,angled away wide of off; good length ball; Kishan cuts it to deep point,2026-05-04 13:05:28.013762
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,10,6,Krunal Pandya,Heinrich Klaasen,1 run,driven firmly down the ground; it's in the air and Krunal dives across for the catch but it's out of his reach. Was much slower through the air at 88kph this delivery,2026-05-04 13:05:28.013866
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,11,1,Suyash Sharma,Heinrich Klaasen,1 run,fielder is very early into the dive but still manages to cut it off. Full on the pads; drifting in nicely and Klaasen clips it gently to the left of short fine,2026-05-04 13:05:28.013972
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,11,2,Suyash Sharma,Ishan Kishan,FOUR,drilled down the ground! It's a googly from Suyash but it's too full and Kishan isn't going to let that go unpunished. Brings up his fifty in style!,2026-05-04 13:05:28.014081
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,11,3,Suyash Sharma,Ishan Kishan,FOUR,again the same error. Length is too full and Kishan pounces. Only difference to the previous delivery was that the line was outside off and he went over extra cover instead of going down the ground,2026-05-04 13:05:28.014203
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,11,4,Suyash Sharma,Ishan Kishan,no run,mix-up in the running but Klaasen survives! He responded to the initial call of a single from Kishan who later pulled out. Could've been trouble with a better throw but no damage done in the end. Kishan came dancing down the pitch and found the fielder at cover with his drive. Was no single there,2026-05-04 13:05:28.014309
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,11,5,Suyash Sharma,Ishan Kishan,no run,can't find the gap as he cuts to backward point,2026-05-04 13:05:28.014446
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,11,6,Suyash Sharma,Ishan Kishan,FOUR,terrible delivery and it disappears to the boundary in no time. Third one of the over. Dragged down short; perhaps anticipated a charge from Kishan but he hangs back and pulls hard behind square,2026-05-04 13:05:28.014622
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,12,1,Krunal Pandya,Heinrich Klaasen,SIX,oh that's a gift! Proper gift and nicely wrapped too with a bow on top. Juicy full toss; Klaasen's eyes light up and he smokes it over midwicket,2026-05-04 13:05:28.014901
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,12,2,Krunal Pandya,Heinrich Klaasen,1 run,fired in on a good length just outside off; Klaasen cuts through point,2026-05-04 13:05:28.015022
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,12,3,Krunal Pandya,Ishan Kishan,1 run,flat around off; back of a length; Kishan goes hard on the pull and mistimes it through midwicket,2026-05-04 13:05:28.015134
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,12,4,Krunal Pandya,Heinrich Klaasen,1 run,back of a length on middle and off; Klaasen makes some room and cuts to sweeper cover,2026-05-04 13:05:28.015239
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,12,5,Krunal Pandya,Ishan Kishan,SIX,the round-arm delivery from Krunal and this time it's dispatched over the ropes! Along with being round-arm; was also the 25-yarder from Krunal. Bowled it from well behind the crease and kept it on the pads. But Kishan quickly collapsed his back knee to get under the ball for a big slog-sweep. He's on fire out there!,2026-05-04 13:05:28.015374
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,12,6,Krunal Pandya,Ishan Kishan,SIX,now goes down the ground and fetches another six! Krunal is wondering where to bowl to him. Goes full outside off; it's in the slot and it gets hammered straight back,2026-05-04 13:05:28.015499
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,13,1,Romario Shepherd,Heinrich Klaasen,out Caught by Phil Salt!! Salt is celebrating but he was very close to the ropes there. Umpire will send it upstairs to check if the catch is clean. Back of a length,heaved across the line and goes very high. It's Salt at the midwicket boundary and he goes down while taking the catch; doesn't stay on his feet. Replays don't seem very conclusive - very hard to say if some part of his back is touching the cushions. I don't see any movement of the cushions; says the third umpire. OUT flashes on the big screen; much to the delight of the partisan home crowd. Klaasen doesn't seem too pleased. He's having a word with the fourth umpire before making his way to the dugout. Heinrich Klaasen c Phil Salt b Romario Shepherd 31(22) [4s-2 6s-1];,2026-05-04 13:05:28.015631
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,13,2,Romario Shepherd,Salil Arora,no run,tucked gently into the on-side,2026-05-04 13:05:28.015770
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,13,3,Romario Shepherd,Salil Arora,1 run,dug in short; Arora pulls it in the air and it falls just short of deep square leg who was charging in from the boundary,2026-05-04 13:05:28.015890
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,13,4,Romario Shepherd,Ishan Kishan,1 run,short of length outside off; angling away from over the wicket; Kishan cuts it to sweeper cover,2026-05-04 13:05:28.016005
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,13,5,Romario Shepherd,Salil Arora,SIX,the top-edge flies all the way and Shepherd has a big smile on his face. Can't believe his luck. Dug in short; Arora takes it on again and once again he's not in control of the pull. Gets big on him and flies over fine leg,2026-05-04 13:05:28.016129
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,13,6,Romario Shepherd,Salil Arora,1 run,back of a length in the channel; steered through point,2026-05-04 13:05:28.016330
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,14,1,Suyash Sharma,Salil Arora,1 run,right in the slot but Arora misses out. Drags it off a thick inside edge behind square. Was floated up from Suyash who missed his length again; like he did very often in his previous over,2026-05-04 13:05:28.016472
01_RCBvsSRH,May 04,13:04:41,M.Chinnaswamy Stadium,14,2,Suyash Sharma,Ishan Kishan,1 run,googly across the left-hander; good length ball; Kishan taps it through the off-side,2026-05-04 13:05:28.016580
